code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,symbol
SZ.002466,N/A,2023-11-17 00:00:00,53.63,54.11,54.12,53.51,5.467,0.0103,15194577,818199421.81,-0.07386888273314708,54.15,SZ.002466
SZ.002466,N/A,2023-11-20 00:00:00,54.5,54.06,54.66,53.6,5.462,0.01033,15228293,821346678.95,-0.09240436148585689,54.11,SZ.002466
SZ.002466,N/A,2023-11-21 00:00:00,54.3,53.61,54.85,53.54,5.417,0.01473,21717414,1176565681.91,-0.8324084350721473,54.06,SZ.002466
SZ.002466,N/A,2023-11-22 00:00:00,53.21,52.09,53.45,52.02,5.263,0.01979,29182413,1532876508.25,-2.8352919231486586,53.61,SZ.002466
SZ.002466,N/A,2023-11-23 00:00:00,52.18,52.37,52.37,51.53,5.292,0.01163,17147254,892190124.33,0.5375311960068996,52.09,SZ.002466
SZ.002466,N/A,2023-11-24 00:00:00,52.33,51.88,52.48,51.7,5.242,0.01056,15577169,809470086.13,-0.9356501814015561,52.37,SZ.002466
SZ.002466,N/A,2023-11-27 00:00:00,51.54,50.39,51.56,50.0,5.091,0.01801,26556960,1342974184.81,-2.8720123361603735,51.88,SZ.002466
SZ.002466,N/A,2023-11-28 00:00:00,50.2,50.42,50.5,49.68,5.094,0.01344,19816276,992873594.86,0.05953562214725369,50.39,SZ.002466
SZ.002466,N/A,2023-11-29 00:00:00,50.41,50.32,50.69,49.78,5.084,0.01095,16142727,808592044.14,-0.19833399444665095,50.42,SZ.002466
SZ.002466,N/A,2023-11-30 00:00:00,50.0,50.08,50.25,49.34,5.06,0.01046,15433212,769631697.64,-0.47694753577106913,50.32,SZ.002466
SZ.002466,N/A,2023-12-01 00:00:00,49.7,50.12,50.89,49.01,5.064,0.01639,24166859,1204849554.93,0.07987220447284175,50.08,SZ.002466
SZ.002466,N/A,2023-12-04 00:00:00,49.88,50.64,51.13,49.53,5.117,0.01561,23020138,1164894148.19,1.0375099760574684,50.12,SZ.002466
SZ.002466,N/A,2023-12-05 00:00:00,49.9,51.13,52.48,49.81,5.166,0.03132,46184060,2387180090.84,0.9676145339652488,50.64,SZ.002466
SZ.002466,N/A,2023-12-06 00:00:00,50.81,55.98,56.24,50.62,5.656,0.08112,119638955,6606741825.84,9.485624877762554,51.13,SZ.002466
SZ.002466,N/A,2023-12-07 00:00:00,54.7,56.23,57.1,54.43,5.682,0.05222,77017178,4293377931.35,0.44658806716684535,55.98,SZ.002466
SZ.002466,N/A,2023-12-08 00:00:00,57.02,55.6,57.35,55.19,5.618,0.03124,46070444,2572240991.79,-1.1203983638626986,56.23,SZ.002466
SZ.300662,N/A,2023-08-30 00:00:00,32.13,31.89,32.58,31.26,24.455,0.01106,2176900,69223305.0,-0.6851448146994671,32.11,SZ.300662
SZ.300662,N/A,2023-08-31 00:00:00,31.67,31.91,32.32,31.0,24.47,0.00911,1792500,56916993.0,0.06271558482282713,31.89,SZ.300662
SZ.300662,N/A,2023-09-01 00:00:00,31.71,31.64,32.25,31.5,24.263,0.0064,1260500,40040557.0,-0.8461297398934489,31.91,SZ.300662
SZ.300662,N/A,2023-09-04 00:00:00,32.08,33.09,33.39,31.9,25.375,0.01532,3015900,98731676.0,4.582806573957026,31.64,SZ.300662
SZ.300662,N/A,2023-09-05 00:00:00,33.0,33.97,34.19,32.89,26.05,0.0129,2538837,85795432.52,2.6594137201571333,33.09,SZ.300662
SZ.300662,N/A,2023-09-06 00:00:00,33.73,34.9,35.35,33.7,26.763,0.01166,2294700,79577915.0,2.7377097438916684,33.97,SZ.300662
SZ.300662,N/A,2023-09-07 00:00:00,35.16,33.91,35.2,33.8,26.004,0.00949,1868100,64015787.0,-2.836676217765049,34.9,SZ.300662
SZ.300662,N/A,2023-09-08 00:00:00,33.8,33.55,34.12,32.86,25.728,0.00613,1205999,40378257.42,-1.0616337363609538,33.91,SZ.300662
SZ.300662,N/A,2023-09-11 00:00:00,33.56,33.45,33.8,32.89,25.651,0.0075,1476065,49242116.6,-0.2980625931445434,33.55,SZ.300662
SZ.300662,N/A,2023-09-12 00:00:00,33.46,32.95,33.47,32.85,25.268,0.00401,788988,26091483.28,-1.4947683109118086,33.45,SZ.300662
SZ.300662,N/A,2023-09-13 00:00:00,32.68,32.54,33.28,32.26,24.953,0.00342,672900,21925259.0,-1.244309559939313,32.95,SZ.300662
SZ.300662,N/A,2023-09-14 00:00:00,32.38,32.35,32.6,31.88,24.808,0.00389,765800,24626729.0,-0.5838967424707981,32.54,SZ.300662
SZ.300662,N/A,2023-09-15 00:00:00,32.46,32.97,33.58,32.12,25.283,0.00644,1268400,41889574.0,1.9165378670788176,32.35,SZ.300662
SZ.300662,N/A,2023-09-18 00:00:00,33.15,34.6,34.8,32.75,26.533,0.01202,2365000,80558543.0,4.943888383378837,32.97,SZ.300662
SZ.300662,N/A,2023-09-19 00:00:00,34.65,33.35,34.77,32.9,25.575,0.00908,1786451,59681228.22,-3.61271676300578,34.6,SZ.300662
SZ.300662,N/A,2023-09-20 00:00:00,33.27,32.52,33.29,32.51,24.938,0.00415,817700,26769490.18,-2.4887556221889002,33.35,SZ.300662
SZ.300662,N/A,2023-09-21 00:00:00,32.36,31.89,32.8,31.55,24.455,0.00552,1086179,34811142.39,-1.9372693726937347,32.52,SZ.300662
SZ.300662,N/A,2023-09-22 00:00:00,31.89,32.8,32.97,31.67,25.153,0.0055,1082158,35087229.36,2.853559109438685,31.89,SZ.300662
SZ.300662,N/A,2023-09-25 00:00:00,32.9,32.09,32.9,32.0,24.608,0.00627,1234700,39951108.0,-2.1646341463414447,32.8,SZ.300662
SZ.300662,N/A,2023-09-26 00:00:00,32.0,31.86,32.38,31.69,24.432,0.00467,918300,29375117.0,-0.7167341851044062,32.09,SZ.300662
